product_id;code_public;name_full
42787;Ifkdb100w;"CB-tec Bowden klapka poznik průměr 100 mm, kabel 1,7 m"
41706;0427515171000;"HAAS & SOHN Krbová kamna LIVORNO – antracit, pískovec"
38731;"ALEDO KRYT";"Kryt CPV pro kamna ALEDO"
38757;"ESQUINA N RG1";"ESQUINA N box - nízký, úzký"
38758;"ESQUINA N RG2";"ESQUINA N box - vysoký"
38759;"ESQUINA N RG3";"ESQUINA N box - nízký, široký"
40697;1057683;"BRULA Akumulační deska – 600 x 220 x 30 mm"
40700;1057687;"BRULA Akumulační deska – rohový prvek oblý – R70"
40703;1057691;"BRULA Akumulační deska – kruhový prvek čtvrtkruh – R220"
40705;1057693;"BRULA Akumulační deska – kruhový prvek čtvrtkruh – R330"
43752;S45;"Lisovaný šamot 400 × 400 × 30 mm R-SKA"
38009;Q69BC;"Barva korpusu  ORBIS – červená"
38012;Q69BZ;"Barva korpusu  ORBIS – zlatá"
38033;Q71BC;"Barva korpusu ORBIS TOP – červená"
43774;"SONXEH 22";"ROMOTOP Akum. krbová kamna SONE G H kámen"
38036;Q71BZ;"Barva korpusu ORBIS TOP – zlatá"
38045;Q72BC;"Barva korpusu SOLUM – červená"
38048;Q72BZ;"Barva korpusu SOLUM – zlatá"
40609;1060391;"BRULApor deska 1000×250×30 mm"
40638;20493/S:1051913;"BRULApor sokl radius 1/4-kruh s klenbou – rovný výřez – R600"
38069;Q74BC;"Barva korpusu SOLUM TOP – červená"
38072;Q74BZ;"Barva korpusu SOLUM TOP – zlatá"
40660;1057677;"BRULAheat deska – 1000 x 250 x 40 mm"
40665;1057682;"BRULAheat deska – 600 x 400 x 40 mm"
38095;Q78BC;"Barva korpusu ORTI – červená"
40674;1059281;"BRULAheat 1/8 kruhový díl – R400"
38096;Q78BZ;"Barva korpusu ORTI – zlatá"
40675;1059278;"BRULAheat 1/8 kruhový díl – R440"
40679;1059288;"BRULAheat 1/8 kruhový díl – R660"
40680;1059284;"BRULAheat 1/8 kruhový díl – R700"
40682;1059286;"BRULAheat 1/8 kruhový díl – R800"
38106;Q80BC;"Barva korpusu QUADROOM – červená"
38109;Q80BZ;"Barva korpusu QUADROOM – zlatá"
42057;Q98BC;"Barva korpusu CERES – červená"
42060;Q98BZ;"Barva korpusu CERES – zlatá"
42068;Q99BC;"Barva korpusu CERES TOP – červená"
42071;Q99BZ;"Barva korpusu CERES TOP – zlatá"
42289;Q104BC;"Barva korpusu pro kamna ORBIS EXTENTO F – červená"
42292;Q104BZ;"Barva korpusu pro kamna ORBIS EXTENTO F – zlatá"
42296;Q105BC;"Barva korpusu pro kamna ORBIS EXTENTO H – červená"
42299;Q105BZ;"Barva korpusu pro kamna ORBIS EXTENTO H – zlatá"
42303;Q102BC;"Barva korpusu pro kamna QUADROOM LONG – červená"
42306;Q102BZ;"Barva korpusu pro kamna QUADROOM LONG – zlatá"
42308;Q102KLN;"Nerezová klika pro kamna QUADROOM LONG"
42573;Q115BC;"Barva korpusu pro kamna HYDROFIRE – červená"
42576;Q115BZ;"Barva korpusu pro kamna HYDROFIRE – zlatá"
42763;Q108KC;"Černá keramika pro kamna Della"
42764;Q108KLN;"Nerezová klika pro kamna Della"
43359;Q126KLN;"Nerezová klika pro Dea Log"
42832;1POT113;"Díl s kontrolním otvorem POT 113 MKD"
42833;1POT120;"Díl s kontrolním otvorem POT 120 MKD"
42834;1POT130;"Díl s kontrolním otvorem POT 130 MKD"
42836;1POT150;"Díl s kontrolním otvorem POT 150 MKD"
42837;1POT160;"Díl s kontrolním otvorem POT 160 MKD"
43280;Q120KC;"Černá keramika pro Impuls LA"
43298;Q121KC;"Černá keramika pro kamna Sedna (Q121)"
41309;32320.15;"ROKA Nerezový třívrstvý komínový díl délky 250 mm Ø 150 mm s izolací 25 mm"
